survey_date,state_fips,county_fips,census_region,census_division,county_name,buildings_1unit,units_1unit,value_1unit,buildings_2unit,units_2unit,value_2unit,buildings_3or4unit,units_3or4unit,value_3or4unit,buildings_5plusunit,units_5plusunit,X30,total_buildings
202001,21,163,3,6,Meade County,2,2,480000,1,2,120000,0,0,0,0,0,0,3
202001,21,167,3,6,Mercer County,4,4,681011,0,0,0,0,0,0,0,0,0,4
202001,21,175,3,6,Morgan County,2,2,150000,0,0,0,0,0,0,0,0,0,2
202001,21,179,3,6,Nelson County,19,19,3606000,0,0,0,1,4,530000,0,0,0,20
202001,21,185,3,6,Oldham County,23,23,7963199,0,0,0,0,0,0,0,0,0,23
202001,21,191,3,6,Pendleton County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,21,209,3,6,Scott County,29,29,5744968,3,6,875769,0,0,0,1,12,0,33
202001,21,211,3,6,Shelby County,14,14,3570529,0,0,0,0,0,0,0,0,0,14
202001,21,213,3,6,Simpson County,8,8,1184350,0,0,0,0,0,0,0,0,0,8
202001,21,215,3,6,Spencer County,13,13,3086937,0,0,0,0,0,0,0,0,0,13
202001,21,221,3,6,Trigg County,4,4,819590,0,0,0,0,0,0,1,70,5984160,5
202001,21,239,3,6,Woodford County,14,14,2110070,0,0,0,0,0,0,0,0,0,14
202001,22,005,3,7,Ascension Parish,26,26,5045784,0,0,0,0,0,0,0,0,0,26
202001,22,015,3,7,Bossier Parish,24,24,4997798,0,0,0,0,0,0,0,0,0,24
202001,22,017,3,7,Caddo Parish,4,4,605499,0,0,0,0,0,0,0,0,0,4
202001,22,031,3,7,De Soto Parish,6,6,1707775,0,0,0,0,0,0,0,0,0,6
202001,22,033,3,7,East Baton Rouge Parish,108,108,25990183,0,0,0,0,0,0,0,0,0,108
202001,22,037,3,7,East Feliciana Parish,3,3,614693,0,0,0,0,0,0,0,0,0,3
202001,22,047,3,7,Iberville Parish,11,11,2354737,0,0,0,0,0,0,0,0,0,11
202001,22,051,3,7,Jefferson Parish,65,65,16535070,0,0,0,0,0,0,0,0,0,65
202001,22,055,3,7,Lafayette Parish,126,126,29088171,0,0,0,0,0,0,0,0,0,126
202001,22,063,3,7,Livingston Parish,72,72,14271752,0,0,0,0,0,0,0,0,0,72
202001,22,071,3,7,Orleans Parish,48,48,10811277,7,14,1447388,1,4,962635,1,52,0,57
202001,22,075,3,7,Plaquemines Parish,4,4,1059818,0,0,0,0,0,0,0,0,0,4
202001,22,077,3,7,Pointe Coupee Parish,3,3,816064,0,0,0,0,0,0,0,0,0,3
202001,22,087,3,7,St. Bernard Parish,22,22,3861000,0,0,0,0,0,0,0,0,0,22
202001,22,089,3,7,St. Charles Parish,4,4,1143000,0,0,0,0,0,0,0,0,0,4
202001,22,091,3,7,St. Helena Parish,2,2,359808,0,0,0,0,0,0,0,0,0,2
202001,22,095,3,7,St. John the Baptist Parish,6,6,888000,0,0,0,0,0,0,0,0,0,6
202001,22,099,3,7,St. Martin Parish,16,16,3026458,0,0,0,0,0,0,0,0,0,16
