state_fips,county_fips,econdep
22,015,Government
22,017,Nonspecialized
22,019,Nonspecialized
22,021,Nonspecialized
22,023,Nonspecialized
22,025,Farming
22,027,Government
22,029,Nonspecialized
22,031,Mining
22,033,Nonspecialized
22,035,Farming
22,037,Government
22,039,Nonspecialized
22,041,Nonspecialized
22,043,Manufacturing
22,045,Mining
22,047,Manufacturing
22,049,Manufacturing
22,051,Service
22,053,Nonspecialized
22,055,Mining
22,057,Nonspecialized
22,059,Nonspecialized
22,061,Government
22,063,Nonspecialized
22,065,Nonspecialized
22,067,Nonspecialized
22,069,Nonspecialized
22,071,Government
22,073,Service
22,075,Mining
22,077,Nonspecialized
22,079,Government
22,081,Nonspecialized
22,083,Nonspecialized
22,085,Manufacturing
22,087,Nonspecialized
22,089,Manufacturing
22,091,Farming
22,093,Manufacturing
22,095,Manufacturing
22,097,Nonspecialized
22,099,Manufacturing
22,101,Mining
22,103,Service
22,105,Nonspecialized
22,107,Farming
22,109,Mining
22,111,Manufacturing
22,113,Mining
22,115,Government
22,117,Nonspecialized
22,119,Manufacturing
22,121,Manufacturing
22,123,Nonspecialized
22,125,Government
22,127,Manufacturing
23,001,Service
23,003,Nonspecialized
23,005,Service
23,007,Manufacturing
23,009,Service
23,011,Government
23,013,Service
23,015,Service
23,017,Manufacturing
23,019,Nonspecialized
23,021,Manufacturing
23,023,Manufacturing
23,025,Manufacturing
23,027,Service
23,029,Nonspecialized
23,031,Nonspecialized
24,001,Nonspecialized
24,003,Government
24,005,Service
24,009,Nonspecialized
24,011,Nonspecialized
24,013,Nonspecialized
24,015,Nonspecialized
24,017,Government
24,019,Manufacturing
24,021,Service
24,023,Nonspecialized
24,025,Government
24,027,Service
24,029,Nonspecialized
24,031,Service
24,033,Government
24,035,Nonspecialized
24,037,Government
24,039,Government
24,041,Service
24,043,Nonspecialized
24,045,Nonspecialized
24,047,Service
24,510,Service
25,001,Service
25,003,Service
25,005,Manufacturing
25,007,Service
25,009,Manufacturing
25,011,Manufacturing
25,013,Service
25,015,Government
25,017,Service
25,019,Service
25,021,Service
25,023,Service
25,025,Service
25,027,Nonspecialized
26,001,Nonspecialized
26,003,Manufacturing
26,005,Manufacturing
26,007,Manufacturing
26,009,Manufacturing
26,011,Nonspecialized
26,013,Manufacturing
26,015,Manufacturing
26,017,Manufacturing
26,019,Service
26,021,Manufacturing
26,023,Manufacturing
26,025,Manufacturing
26,027,Manufacturing
26,029,Manufacturing
26,031,Service
26,033,Government
26,035,Nonspecialized
26,037,Nonspecialized
26,039,Nonspecialized
26,041,Manufacturing
26,043,Manufacturing
26,045,Service
26,047,Service
26,049,Manufacturing
26,051,Manufacturing
26,053,Nonspecialized
26,055,Service
26,057,Nonspecialized
26,059,Manufacturing
26,061,Government
26,063,Manufacturing
26,065,Government
26,067,Manufacturing
26,069,Nonspecialized
26,071,Nonspecialized
26,073,Government
26,075,Manufacturing
26,077,Manufacturing
26,079,Mining
26,081,Manufacturing
26,083,Government
26,085,Nonspecialized
26,087,Manufacturing
26,089,Nonspecialized
26,091,Manufacturing
26,093,Manufacturing
26,095,Government
26,097,Service
26,099,Manufacturing
26,101,Manufacturing
26,103,Nonspecialized
26,105,Manufacturing
26,107,Government
26,109,Manufacturing
26,111,Manufacturing
26,113,Nonspecialized
26,115,Manufacturing
26,117,Manufacturing
26,119,Nonspecialized
26,121,Manufacturing
26,123,Manufacturing
26,125,Service
26,127,Nonspecialized
26,129,Nonspecialized
26,131,Manufacturing
26,133,Manufacturing
26,135,Manufacturing
26,137,Nonspecialized
26,139,Manufacturing
26,141,Mining
26,143,Service
26,145,Manufacturing
26,147,Manufacturing
26,149,Manufacturing
26,151,Manufacturing
26,153,Nonspecialized
26,155,Nonspecialized
26,157,Nonspecialized
26,159,Manufacturing
26,161,Government
26,163,Manufacturing
26,165,Manufacturing
27,001,Nonspecialized
27,003,Manufacturing
27,005,Nonspecialized
27,007,Nonspecialized
27,009,Manufacturing
27,011,Nonspecialized
27,013,Nonspecialized
27,015,Manufacturing
27,017,Manufacturing
27,019,Manufacturing
27,021,Nonspecialized
27,023,Nonspecialized
27,025,Nonspecialized
27,027,Nonspecialized
27,029,Nonspecialized
27,031,Nonspecialized
27,033,Nonspecialized
27,035,Nonspecialized
27,037,Nonspecialized
27,039,Manufacturing
27,041,Nonspecialized
27,043,Manufacturing
27,045,Nonspecialized
27,047,Manufacturing
27,049,Manufacturing
27,051,Nonspecialized
27,053,Service
27,055,Nonspecialized
27,057,Nonspecialized
27,059,Nonspecialized
27,061,Nonspecialized
27,063,Nonspecialized
27,065,Nonspecialized
27,067,Nonspecialized
27,069,Farming
27,071,Manufacturing
27,073,Farming
27,075,Mining
27,077,Manufacturing
27,079,Manufacturing
27,081,Farming
27,083,Manufacturing
27,085,Manufacturing
27,087,Nonspecialized
27,089,Farming
27,091,Nonspecialized
27,093,Nonspecialized
27,095,Nonspecialized
27,097,Nonspecialized
27,099,Manufacturing
27,101,Farming
27,103,Manufacturing
27,105,Nonspecialized
27,107,Farming
27,109,Service
27,111,Nonspecialized
27,113,Nonspecialized
27,115,Nonspecialized
27,117,Nonspecialized
27,119,Nonspecialized
27,121,Nonspecialized
27,123,Nonspecialized
27,125,Farming
27,127,Nonspecialized
27,129,Farming
27,131,Manufacturing
27,133,Farming
27,135,Manufacturing
27,137,Nonspecialized
27,139,Manufacturing
27,141,Nonspecialized
27,143,Nonspecialized
27,145,Nonspecialized
27,147,Manufacturing
27,149,Government
27,151,Nonspecialized
27,153,Manufacturing
27,155,Farming
27,157,Manufacturing
