Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
,1/28/2013,135.00,134.00,,
,1/29/2013,171.00,167.00,,
,1/30/2013,162.00,160.00,,
,1/31/2013,184.00,183.00,,
,2/1/2013,230.00,206.00,,
,2/2/2013,240.00,231.00,,
,2/3/2013,79.00,107.00,,
,2/4/2013,138.00,136.00,,
,2/5/2013,140.00,138.00,,
,2/6/2013,145.00,143.00,,
,2/7/2013,139.00,136.00,,
,2/8/2013,208.00,179.00,,
,2/9/2013,250.00,241.00,,
,2/10/2013,136.00,164.00,,
,2/11/2013,136.00,137.00,,
,2/12/2013,154.00,154.00,,
,2/13/2013,158.00,156.00,,
,2/14/2013,172.00,162.00,,
,2/15/2013,213.00,177.00,,
,2/16/2013,229.00,237.00,,
,2/17/2013,181.00,206.00,,
,2/18/2013,156.00,151.00,,
,2/19/2013,145.00,142.00,,
,2/20/2013,166.00,164.00,,
,2/21/2013,144.00,141.00,,
,2/22/2013,208.00,183.00,,
,2/23/2013,232.00,233.00,,
,2/24/2013,106.00,130.00,,
,2/25/2013,144.00,144.00,,
,2/26/2013,163.00,161.00,,
,2/27/2013,143.00,142.00,,
,2/28/2013,170.00,165.00,,
,3/1/2013,201.00,185.00,,
,3/2/2013,238.00,221.00,,
,3/3/2013,163.00,193.00,,
,3/4/2013,118.00,116.00,,
,3/5/2013,163.00,161.00,,
,3/6/2013,169.00,165.00,,
,3/7/2013,159.00,156.00,,
,3/8/2013,182.00,164.00,,
,3/9/2013,231.00,222.00,,
,3/10/2013,164.00,180.00,,
,3/11/2013,143.00,138.00,,
,3/12/2013,156.00,157.00,,
,3/13/2013,141.00,142.00,,
,3/14/2013,155.00,153.00,,
,3/15/2013,231.00,205.00,,
,3/16/2013,244.00,239.00,,
,3/17/2013,164.00,186.00,,
,3/18/2013,135.00,134.00,,
,3/19/2013,161.00,157.00,,
,3/20/2013,141.00,142.00,,
,3/21/2013,179.00,176.00,,
,3/22/2013,203.00,177.00,,
,3/23/2013,234.00,223.00,,
,3/24/2013,149.00,176.00,,
,3/25/2013,141.00,134.00,,
,3/26/2013,156.00,155.00,,
,3/27/2013,150.00,149.00,,
,3/28/2013,176.00,171.00,,
,3/29/2013,221.00,201.00,,
,3/30/2013,235.00,235.00,,
,3/31/2013,139.00,159.00,,
,4/1/2013,137.00,133.00,,
,4/2/2013,170.00,168.00,,
,4/3/2013,152.00,154.00,,
,4/4/2013,170.00,166.00,,
,4/5/2013,215.00,185.00,,
,4/6/2013,237.00,238.00,,
,4/7/2013,119.00,144.00,,
,4/8/2013,105.00,105.00,,
,4/9/2013,187.00,179.00,,
,4/10/2013,147.00,150.00,,
,4/11/2013,146.00,147.00,,
,4/12/2013,195.00,177.00,,
,4/13/2013,247.00,239.00,,
,4/14/2013,181.00,197.00,,
,4/15/2013,116.00,116.00,,
,4/16/2013,128.00,124.00,,
,4/17/2013,123.00,118.00,,
,4/18/2013,172.00,170.00,,
,4/19/2013,189.00,165.00,,
